UIN,Incident.day,Incident.month,Incident.year,Victim.injury,State,Location,Shark.common.name,Shark.scientific.name,Latitude-Orig,Longitude-Orig,Adjusted,Site.category,AdjLat,AdjLong,Latitude,Longitude,Notes
853,18,12,2007,injured,NSW,port stephens (inside headland),white shark,Carcharodon carcharias ,-32.6833,152.1833,No,estuary/harbour,,,-32.6833,152.1833,
854,1,1,2008,uninjured,TAS,"pipers river mouth, waymouth",white shark,Carcharodon carcharias ,-41.0000,147.1333,No,estuary/harbour,,,-41.0000,147.1333,
855,1,1,2008,injured,NSW,"tweed heads, turtle sanctuary, cook island",wobbegong,Orectolobidae,-28.1833,153.5667,No,coastal,,,-28.1833,153.5667,
856,1,1,2008,injured,WA,rottnest island,wobbegong,Orectolobidae,-31.9833,115.5333,No,island open ocean,,,-31.9833,115.5333,
857,1,2,2008,injured,VIC,"shallow inlet, wilson's promontory",wobbegong,Orectolobidae,-38.8333,146.1667,No,estuary/harbour,,,-38.8333,146.1667,
858,1,4,2008,injured,QLD,"greenmount beach, coolangatta",wobbegong,Orectolobidae,-28.1500,153.5333,No,coastal,,,-28.1500,153.5333,
859,1,4,2008,fatal,NSW,"ballina, lighthouse beach",bull shark,Carcharhinus leucas,-28.8667,153.5667,No,coastal,,,-28.8667,153.5667,
860,1,4,2008,injured,WA,"yallingup, south perth",wobbegong,Orectolobidae,-33.6333,115.0000,No,coastal,,,-33.6333,115.0000,
861,1,5,2008,injured,WA,"albany, middleton beach",white shark,Carcharodon carcharias ,-35.0167,117.9167,No,coastal,,,-35.0167,117.9167,
862,1,7,2008,uninjured,VIC,"levys beach, warrnambool",white shark,Carcharodon carcharias ,-38.3833,142.4833,No,coastal,,,-38.3833,142.4833,
863,30,8,2008,uninjured,NSW,"byron bay, tallow beach",white shark,Carcharodon carcharias ,-28.6333,153.6167,No,coastal,,,-28.6333,153.6167,
864,7,9,2008,uninjured,NSW,"byron bay, clarkes beach",white shark,Carcharodon carcharias ,-28.6333,153.6167,No,coastal,,,-28.6333,153.6167,
865,1,12,2008,uninjured,NSW,seal rocks,whaler shark,Carcharhinidae,-32.4333,152.5167,No,estuary/harbour,,,-32.4333,152.5167,
866,1,12,2008,fatal,WA,"port kennedy beach, perth",white shark,Carcharodon carcharias ,-32.3500,115.7167,No,coastal,,,-32.3500,115.7167,
867,27,12,2008,uninjured,NSW,"long reef, sydney",white shark,Carcharodon carcharias ,-33.7333,151.3167,No,coastal,,,-33.7333,151.3167,
868,1,1,2009,injured,NSW,"windang, lake illawarra, wollongong",dusky shark,Carcharhinus obscurus,-34.5333,150.8667,No,river,,,-34.5333,150.8667,
869,1,1,2009,injured,QLD,osprey reef,grey reef shark,Carcharhinus amblyrhynchos,-13.9167,146.6167,No,island open ocean,,,-13.9167,146.6167,
870,11,1,2009,injured,NSW,"dreamtime beach, fingal head",white shark,Carcharodon carcharias ,-28.1833,153.5500,No,estuary/harbour,,,-28.1833,153.5500,
871,1,1,2009,injured,TAS,"baileys rock, binalong bay",white shark,Carcharodon carcharias ,-41.2333,148.3000,No,coastal,,,-41.2333,148.3000,
872,1,1,2009,injured,NSW,"surf beach, bateman's bay",,,-35.7600,150.2053,No,coastal,,,-35.7600,150.2053,
873,18,2,2009,uninjured,NSW,"port macquarie, shelley beach",white shark,Carcharodon carcharias ,-31.4500,152.9167,No,coastal,,,-31.4500,152.9167,
874,1,2,2009,injured,NSW,"woolloomooloo bay, sydney harbour",bull shark,Carcharhinus leucas,-33.8500,151.2167,No,coastal,,,-33.8500,151.2167,
875,7,2,2009,uninjured,NSW,"minnie waters, sandon beach",white shark,Carcharodon carcharias ,-29.7667,153.2833,No,coastal,,,-29.7667,153.2833,
876,12,2,2009,injured,NSW,"bondi beach, sydney",white shark,Carcharodon carcharias ,-33.8833,151.2667,No,estuary/harbour,,,-33.8833,151.2667,
877,7,2,2009,uninjured,NSW,"cellito beach, north coast",white shark,Carcharodon carcharias ,-32.3833,152.5167,No,coastal,,,-32.3833,152.5167,
878,1,3,2009,injured,NSW,avalon beach,white shark,Carcharodon carcharias ,-33.6333,151.3167,Yes,coastal,-33.6339,151.3357,-33.6339,151.3357,"-33.633960, 151.335735"
879,1,3,2009,uninjured,NSW,"broulee beach north, batemans bay",whaler shark,Carcharhinidae,-35.8500,150.1667,No,coastal,,,-35.8500,150.1667,
880,1,3,2009,injured,NSW,"maroubra beach, sydney",wobbegong,Orectolobidae,-33.9333,151.2500,No,coastal,,,-33.9333,151.2500,
881,1,3,2009,injured,WA,halls head beach,white shark,Carcharodon carcharias ,-32.5000,115.7000,No,coastal,,,-32.5000,115.7000,
882,1,3,2009,injured,WA,"rottnest island, natural jetty",wobbegong,Orectolobidae,-31.9833,115.5333,No,island open ocean,,,-31.9833,115.5333,
883,1,4,2009,uninjured,NSW,"port stephens, fingal spit",bull shark,Carcharhinus leucas,-32.7333,152.1833,No,coastal,,,-32.7333,152.1833,
884,1,6,2009,injured,NSW,"kiama, seven mile beach",wobbegong,Orectolobidae,-34.6667,150.8500,No,coastal,,,-34.6667,150.8500,
885,1,7,2009,injured,NSW,"byron bay, broken head",whaler shark,Carcharhinidae,-28.6333,153.6167,No,coastal,,,-28.6333,153.6167,
886,1,8,2009,uninjured,WA,"rottnest island, horse shoe reef",white shark,Carcharodon carcharias ,-32.0000,115.4500,No,island open ocean,,,-32.0000,115.4500,
887,1,9,2009,injured,WA,"cocos (kelling) island, jetty",whaler shark,Carcharhinidae,-12.1500,96.8167,No,island open ocean,,,-12.1500,96.8167,
888,1,10,2009,uninjured,VIC,portland,white shark,Carcharodon carcharias ,-38.3333,141.6000,No,coastal,,,-38.3333,141.6000,
889,1,10,2009,uninjured,NSW,lennox head,white shark,Carcharodon carcharias ,-28.7833,153.5833,No,coastal,,,-28.7833,153.5833,
890,1,11,2009,injured,SA,"second valley, fleurieu peninsula",white shark,Carcharodon carcharias ,-35.5000,138.2333,No,coastal,,,-35.5000,138.2333,
891,1,12,2009,injured,QLD,"heron island, lamont reef",whaler shark,Carcharhinidae,-23.4333,151.9000,No,island open ocean,,,-23.4333,151.9000,
892,1,12,2009,injured,NSW,avoca beach,wobbegong,Orectolobidae,-33.4500,151.4333,No,coastal,,,-33.4500,151.4333,
893,12,12,2009,injured,NSW,hawks nest ,white shark,Carcharodon carcharias ,-26.0670,113.5670,Yes,coastal,-32.6724,152.2224,-32.6724,152.2224,"-32.672441, 152.222442"
